ID,Gender of respondent,How old are you?,Have you ever been told by doctor that you,Employment status,Are you Hispanic or Latino,What is the highest grade or level of school you have completed,Which one of the following best describes,Which one,"Which one or more of the following would you say is your race - Black or African American,",Which one,Which one or more of the following would you say is your race - Native Hawaiian or Other Pacific Islander,Which one or more of the following would you say is your race - American Indian or Alaska Native,Which one or more of the following would you say is your race - Some other race? (SPECIFY),Which one,Which one,Which one of the following best describes
222,Male,30,No,"Employed for wages,",Yes,"Some College, No Degree","Puerto Rican,",No,No,No,No,No,Yes,No,No,.
223,Male,32,No,"Employed for wages,",Yes,"12th Grade, No Diploma","Puerto Rican,",No,No,No,No,No,Yes,No,No,.
224,Male,27,No,"Employed for wages,",Yes,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",Some other nationality? (SPECIFY),No,Yes,No,No,No,No,No,No,.
225,Male,34,No,"Out of work for less than 1 year,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
226,Male,38,No,"Employed for wages,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
227,Female,28,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
228,Female,56,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
229,Male,55,Yes,"Out of work for more than 1 year,",No,8th Grade,.,No,Yes,No,No,No,No,No,No,.
230,Female,43,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
231,Female,36,No,"Primarily a student,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
232,Female,38,No,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
233,Female,35,No,"Self-employed,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
234,Female,55,Yes,Unable to work?,No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
235,Female,32,No,"Out of work for less than 1 year,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
236,Female,78,Yes,"Primarily retired, or",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
237,Male,Age,No,"Primarily a student,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
238,Female,58,Yes,Unable to work?,No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
239,Female,20,No,"Employed for wages,",No,NO CODED RESPONSE APPLICABLE (SPECIFY),.,No,Yes,No,No,No,No,No,No,.
240,Female,67,No,"Primarily retired, or",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
241,Female,24,No,"Primarily a student,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
242,Male,25,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
243,Female,21,Yes,"Primarily a student,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
244,Female,56,No,Unable to work?,No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,Yes,No,No,No,.
245,Male,22,Yes,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
246,Female,67,Yes,Unable to work?,No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
247,Female,23,No,"Self-employed,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
248,Male,34,No,"Self-employed,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
249,Female,71,Yes,Unable to work?,No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
250,Female,43,No,"Out of work for more than 1 year,",Yes,Associate Degree: Academic Program,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
251,Female,41,No,"Out of work for less than 1 year,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
252,Female,39,No,"Out of work for less than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
253,Female,71,Yes,"Primarily retired, or",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
254,Female,54,Yes,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
255,Female,56,Yes,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
256,Female,59,Yes,"Primarily a homemaker,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
257,Female,68,Yes,"Primarily retired, or",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
258,Female,65,Yes,"Primarily retired, or",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
259,Male,64,Yes,Unable to work?,No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
260,Female,70,Yes,"Primarily retired, or",No,GED or Equivalent,.,No,No,No,No,Yes,Yes,No,No,.
261,Female,72,Yes,"Primarily retired, or",No,Associate Degree: Academic Program,.,No,Yes,No,No,No,No,No,No,.
262,Female,59,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
263,Male,31,No,"Out of work for less than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
264,Female,53,No,"Employed for wages,",No,Associate Degree: Academic Program,.,No,Yes,No,No,No,No,No,No,.
265,Female,64,No,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
266,Female,68,Yes,"Primarily retired, or",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
267,Female,29,Yes,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
268,Male,23,No,"Out of work for more than 1 year,",No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
269,Male,50,Yes,"Self-employed,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
270,Male,66,Yes,"Primarily retired, or",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
271,Male,21,No,"Primarily a student,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
272,Female,21,No,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
273,Male,26,No,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
274,Male,53,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
275,Female,55,No,"Out of work for more than 1 year,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
276,Male,30,No,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
277,Female,29,NO CODED RESPONSE APPLICABLE (SPECIFY),"Self-employed,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
278,Male,51,Yes,Unable to work?,No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
279,Male,65,Yes,"Primarily retired, or",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
280,Female,65,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
281,Male,56,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
282,Female,65,Yes,Unable to work?,No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
283,Female,63,Yes,"Primarily retired, or",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
284,Female,46,Yes,Unable to work?,No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
285,Female,49,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
286,Female,27,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
287,Female,42,Yes,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
288,Male,43,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
289,Male,45,No,"Out of work for less than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
290,Female,55,Yes,Unable to work?,No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
291,Female,62,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
292,Female,71,Yes,"Primarily retired, or",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
293,Female,35,No,"Self-employed,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
294,Female,72,No,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
295,Female,Age,No,"Primarily a student,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
296,Female,54,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
297,Female,41,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
298,Female,73,Yes,"Primarily retired, or",No,9th Grade,.,No,Yes,No,No,No,No,No,No,.
299,Female,55,No,"Out of work for more than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
300,Female,31,No,"Out of work for less than 1 year,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
301,Male,38,No,"Self-employed,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
302,Female,52,Yes,"Out of work for more than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
303,Female,23,No,"Out of work for more than 1 year,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
304,Female,63,No,"Employed for wages,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
305,Male,44,Yes,"Out of work for less than 1 year,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
306,Female,19,Yes,"Primarily retired, or",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
307,Female,59,Yes,Unable to work?,No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
308,Female,51,Yes,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
309,Female,22,No,"Self-employed,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
310,Female,30,No,"Employed for wages,",Yes,"Some College, No Degree","Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
311,Female,37,No,"Out of work for less than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
312,Female,23,No,"Out of work for less than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
313,Female,55,No,"Out of work for less than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
314,Male,42,No,"Out of work for more than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,Yes,No,No,No,.
315,Female,79,Yes,"Primarily retired, or",Yes,1st Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
316,Female,36,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
317,Female,53,No,"Out of work for more than 1 year,",Yes,6th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
318,Male,75,Yes,"Primarily retired, or",Yes,9th Grade,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
319,Male,65,Yes,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
320,Female,53,Yes,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
321,Male,23,No,"Out of work for more than 1 year,",Yes,"Bachelor's Degree (Example: BA, AB, BS, BBA)","Mexican or Mexican/American,",No,No,No,No,No,No,No,Yes,.
322,Male,32,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
323,Female,44,Yes,Unable to work?,Yes,"Some College, No Degree","Puerto Rican,",Yes,No,No,No,No,No,No,No,.
324,Male,38,Yes,"Employed for wages,",Yes,6th Grade,"Puerto Rican,",Yes,No,No,No,No,No,No,No,.
325,Female,40,No,"Out of work for more than 1 year,",Yes,8th Grade,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
326,Female,40,No,"Employed for wages,",Yes,8th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
327,Female,77,Yes,"Primarily retired, or",Yes,3rd Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
328,Female,31,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,Yes,No,No,No,.
329,Female,32,No,"Primarily a homemaker,",Yes,High School Graduate,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
330,Female,43,Yes,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
331,Female,42,No,"Employed for wages,",Yes,GED or Equivalent,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
332,Female,74,Yes,"Primarily retired, or",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
333,Male,54,Yes,"Employed for wages,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
334,Female,58,Yes,"Primarily a homemaker,",Yes,"12th Grade, No Diploma","Mexican or Mexican/American,",No,No,No,No,Yes,No,No,No,.
335,Female,30,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
336,Female,Age,No,"Employed for wages,",Yes,"12th Grade, No Diploma","Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
337,Male,24,No,"Primarily a student,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,Yes,No,No,No,.
338,Male,65,Yes,"Primarily retired, or",Yes,High School Graduate,Some other nationality? (SPECIFY),No,Yes,No,No,No,No,No,No,.
339,Male,23,No,"Employed for wages,",Yes,"Bachelor's Degree (Example: BA, AB, BS, BBA)","Puerto Rican,",No,No,No,No,No,Yes,No,No,.
340,Male,33,No,"Employed for wages,",Yes,"Some College, No Degree","Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
341,Female,62,No,Unable to work?,No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
342,Male,27,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
343,Male,26,No,"Self-employed,",Yes,Associate Degree: Academic Program,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
344,Male,35,No,"Out of work for more than 1 year,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
345,Female,26,Yes,"Primarily a homemaker,",Yes,High School Graduate,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
346,Female,44,No,"Primarily a homemaker,",Yes,Never Attended / Kindergarten Only,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
347,Male,22,No,"Employed for wages,",Yes,High School Graduate,"Puerto Rican,",No,Yes,No,No,No,No,No,No,.
348,Male,33,Yes,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
349,Female,48,Yes,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
350,Male,23,No,"Employed for wages,",Yes,"Some College, No Degree","Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
351,Female,35,No,"Out of work for more than 1 year,",Yes,"Bachelor's Degree (Example: BA, AB, BS, BBA)",Some other nationality? (SPECIFY),Yes,No,No,No,No,No,No,No,.
352,Female,Age,No,"Primarily a student,",Yes,11th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
353,Male,26,No,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
354,Female,31,No,"Employed for wages,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
355,Male,51,Yes,"Out of work for more than 1 year,",Yes,3rd Grade,"Puerto Rican,",No,No,No,No,No,Yes,No,No,.
356,Female,63,Yes,"Primarily a homemaker,",No,8th Grade,.,No,Yes,No,No,No,No,No,No,.
357,Female,59,No,Unable to work?,Yes,5th Grade,"Puerto Rican,",No,No,No,No,No,Yes,No,No,.
358,Male,35,No,"Employed for wages,",Yes,GED or Equivalent,"Puerto Rican,",No,No,No,No,No,Yes,No,No,.
359,Female,28,No,"Employed for wages,",Yes,High School Graduate,"Puerto Rican,",No,No,No,No,No,No,Yes,No,.
360,Female,66,Yes,Unable to work?,Yes,9th Grade,"Puerto Rican,",No,No,No,No,No,No,No,Yes,.
361,Male,47,No,"Employed for wages,",Yes,"Some College, No Degree","Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
362,Female,22,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
363,Female,45,Yes,"Out of work for less than 1 year,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
364,Female,71,Yes,"Primarily a homemaker,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
365,Female,37,No,"Employed for wages,",Yes,"Master's Degree (Example: MA, MS, MENG, MED, MBA)","Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
366,Female,54,No,"Employed for wages,",Yes,9th Grade,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
367,Male,32,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
368,Female,62,No,"Out of work for more than 1 year,",Yes,4th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
369,Male,32,No,"Employed for wages,",Yes,NO CODED RESPONSE APPLICABLE (SPECIFY),"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
370,Female,50,Yes,"Self-employed,",Yes,4th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
371,Female,39,No,"Primarily a homemaker,",Yes,6th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
372,Male,33,No,"Self-employed,",Yes,11th Grade,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
373,Female,46,No,"Primarily a homemaker,",Yes,9th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
374,Male,53,Yes,Unable to work?,Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
375,Female,37,No,"Primarily a homemaker,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
376,Male,57,Yes,"Employed for wages,",Yes,6th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
377,Female,70,Yes,"Employed for wages,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
378,Male,22,No,"Out of work for less than 1 year,",Yes,"Some College, No Degree","Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
379,Male,64,Yes,Unable to work?,Yes,6th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
380,Male,32,No,"Self-employed,",Yes,6th Grade,"Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
381,Female,38,No,"Employed for wages,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,Yes,No,No,No,No,No,No,No,.
382,Male,32,No,"Employed for wages,",Yes,6th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
383,Male,Age,No,"Employed for wages,",Yes,"12th Grade, No Diploma","Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
384,Male,32,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
385,Female,20,No,"Out of work for less than 1 year,",Yes,GED or Equivalent,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
386,Male,39,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
387,Female,41,No,"Employed for wages,",Yes,"12th Grade, No Diploma","Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
388,Female,20,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
389,Female,58,Yes,"Primarily a homemaker,",Yes,8th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
390,Female,30,No,"Primarily a homemaker,",Yes,9th Grade,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
391,Male,37,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
392,Female,32,No,"Employed for wages,",Yes,"Master's Degree (Example: MA, MS, MENG, MED, MBA)","Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
393,Male,35,No,"Employed for wages,",Yes,"Bachelor's Degree (Example: BA, AB, BS, BBA)","Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
394,Female,51,No,"Employed for wages,",Yes,"Bachelor's Degree (Example: BA, AB, BS, BBA)","Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
395,Female,63,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
396,Female,63,Yes,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
397,Female,27,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
398,Female,37,No,"Primarily a homemaker,",Yes,11th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
399,Male,79,No,"Primarily retired, or",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
400,Male,86,NO CODED RESPONSE APPLICABLE (SPECIFY),"Primarily retired, or",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
401,Male,35,No,"Employed for wages,",Yes,"Associate Degree: Occupational, Technical, Or Vocational Pro","Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
402,Female,43,No,"Employed for wages,",Yes,6th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
403,Female,49,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
404,Male,35,No,"Employed for wages,",Yes,11th Grade,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
405,Female,49,No,"Primarily a homemaker,",Yes,GED or Equivalent,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
406,Male,23,No,"Out of work for less than 1 year,",Yes,"12th Grade, No Diploma","Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
407,Male,Age,No,"Primarily a student,",Yes,High School Graduate,"Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
408,Male,56,No,Unable to work?,No,"12th Grade, No Diploma",.,Yes,No,No,No,No,No,No,No,.
409,Female,49,No,"Primarily a homemaker,",Yes,"12th Grade, No Diploma","Mexican or Mexican/American,",No,No,No,No,No,No,Yes,No,.
410,Female,32,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
411,Male,25,Yes,"Primarily a student,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
412,Female,28,No,"Primarily a student,",No,"Doctoral Degree (Example: PHD, EDD)",.,Yes,No,No,No,No,No,No,No,.
413,Female,28,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,No,Yes,No,No,No,No,No,"Asian Indian,"
414,Female,26,No,"Primarily a student,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,No,Yes,No,No,No,No,No,"Chinese,"
415,Female,31,No,"Primarily a student,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
416,Male,22,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
417,Female,49,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
418,Male,25,No,"Primarily a student,",Yes,"Bachelor's Degree (Example: BA, AB, BS, BBA)","Ecuadorian, or",Yes,No,No,No,No,No,No,No,.
419,Male,34,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,No,Yes,No,No,Yes,No,No,"Asian Indian,"
420,Male,19,No,"Self-employed,",Yes,High School Graduate,"Puerto Rican,",Yes,No,No,No,No,No,No,No,.
421,Female,63,Yes,"Primarily retired, or",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
422,Male,43,No,"Employed for wages,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,No,Yes,No,No,No,No,No,"Chinese,"
423,Female,23,No,"Primarily a student,",No,"Some College, No Degree",.,No,No,Yes,No,No,No,No,No,"Chinese,"
424,Female,90,Yes,"Primarily retired, or",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
425,Female,68,Yes,"Primarily retired, or",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
426,Female,84,Yes,"Primarily retired, or",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
427,Female,21,No,"Primarily a student,",No,"Some College, No Degree",.,No,No,Yes,No,No,No,No,No,"Chinese,"
428,Male,31,No,"Employed for wages,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
429,Male,23,No,"Employed for wages,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
430,Female,26,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
431,Female,36,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
432,Male,30,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
433,Male,32,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
434,Female,30,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
435,Male,23,Yes,"Primarily a student,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
436,Male,69,Yes,"Self-employed,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,No,No,No,Yes,No,No,No,.
437,Female,19,No,"Employed for wages,",No,High School Graduate,.,Yes,Yes,No,No,No,No,No,No,.
438,Male,67,No,"Out of work for more than 1 year,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
439,Female,21,No,"Primarily a student,",No,"Some College, No Degree",.,No,No,Yes,No,No,No,No,No,"Chinese,"
440,Male,28,No,"Out of work for more than 1 year,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,Yes,No,No,No,No,No,"Chinese,"
441,Female,50,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Chinese,"
442,Female,50,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Chinese,"
443,Male,39,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
444,Female,38,No,"Employed for wages,",No,"Doctoral Degree (Example: PHD, EDD)",.,Yes,No,No,No,No,No,No,No,.
